id,nse_code,bse_code,company_name,mcap,dhrp,ar_2025,ar_2024,q3_26_ppt,q3_26_concall,q2_26_ppt,q2_26_concall,q1_26_ppt,q1_26_concall
missing_515147,missing,515147,Haldyn Glass,501.24,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/8efaed0b-f293-44fe-870d-0691aafe3717.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b4486156-bf0c-4d7c-9a1c-37314034c786.pdf,,,,,,
APTECHT_532475,APTECHT,532475,Aptech Limited,504.9,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f35129f4-f275-4c68-83b0-1c2a3d7a4678.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ef561b2d-055e-42be-b4c1-45378af0147d.pdf,,,,,,
HTMEDIA_532662,HTMEDIA,532662,HT Media Limited,504.94,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/cefe5c18-c985-4034-a7ee-87688448d1a5.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2ef24fd2-1286-446d-a575-62557a9deec3.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/9966712b-263b-4079-a56f-e53fc2749f96.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d35b9453-12aa-412a-aacc-af1b5c967881.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/6b693dbe-bc31-4a05-b0c5-12ac2493e8ef.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/d59070dc-3b6f-4dfe-b427-cb3675c2cd4f.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/68568687-2022-401d-b08a-bf445f78abd7.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/0865d9b3-04a7-41f3-888b-88af3d10cf2f.pdf
TPLPLASTEH_526582,TPLPLASTEH,526582,TPL Plastech Limited,504.96,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f96dcbb4-9cbf-427f-b8f7-97e768c5a94e.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ceb09a47-f73b-48ba-ab8c-442d193b35dc.pdf,,,,,,
ORBTEXP_512626,ORBTEXP,512626,Orbit Exports Limited,505.44,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/22c18c72-5785-43f8-b463-5b84d7b03ef4.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/aaa8efa1-cb91-4856-8df3-f61e90c7ef37.pdf,,,,,,
THOMASCOTT_533941,THOMASCOTT,533941,Thomas Scott (India) Limited,506.04,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f5252a23-5e18-44e4-a97b-27b9b17fa86c.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/3919a6a5-81c8-4841-82b4-7673ea3d1a51.pdf,,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/764cdea5-798e-4545-9af7-8b2728635dbf.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/fdf244ba-0058-4107-923c-f4ac0990a32a.pdf,,
SARVESHWAR_543688,SARVESHWAR,543688,Sarveshwar Foods Limited,506.61,https://www.sebi.gov.in/filings/public-issues/mar-2018/sarveshwar-foods-limited_38331.html,https://www.bseindia.com/xml-data/corpfiling/AttachHis/7b226500-b24c-49b1-af42-ef17e3694d68.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ce24cd4a-6de7-4fa8-9399-f91d35b2b0e9.pdf,,,,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2deda39a-63c8-4396-93c4-67c2059ae149.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/fd24a51a-0f06-484a-8f0b-ff66d21fd07a.pdf
missing_504786,missing,504786,Inv.& Prec.Cast.,508.5,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/078ea53b-dc88-4a4d-8caa-b6dc4facd782.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/0a30a695-bf3f-4cba-b421-e60eb5cb53cd.pdf,,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a75cdd22-b722-4ea8-b60b-bc70055b247d.pdf,,,
GICL_missing,GICL,missing,Globe Intl. Car.,509.39,https://www.sebi.gov.in/filings/public-issues/sep-2016/globe-international-carriers-limited_33380.html,https://archives.nseindia.com/annual_reports/SME_AR_27863_GICL_2024_2025_A_3105952_29082025140811.pdf,https://archives.nseindia.com/annual_reports/SME_AR_25189_GICL_2023_2024_27082024182652.pdf,,,,,,
MODISONLTD_506261,MODISONLTD,506261,MODISON LIMITED,510.09,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5b7eeeee-112e-45bc-85ec-d222b909e348.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b4451489-6fff-4a13-b402-e5b20819a3ac.pdf,,,,,,
missing_526586,missing,526586,Wim Plast,510.14,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b0ef682d-2d9f-43d0-bf03-b02b098fc934.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/1e2418a3-ca45-4712-a674-ae29780d0c46.pdf,,,,,,
missing_530477,missing,530477,Vikram Thermo,510.19,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f9bf66a2-4711-43ef-bf31-a7fe8ceb9cb8.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/54bc88ec-95a8-4d57-88d2-3cf1c96dfed6.pdf,,,,,,
TOLINS_544254,TOLINS,544254,Tolins Tyres Limited,510.89,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/4880eb82-83a2-4eb2-8bae-92385104744d.pdf,,,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/4e61c0fd-98fd-41b0-8eaa-48aee2a970ec.pdf,https://www.tolinstyres.com/_files/ugd/4b4e75_57935da0bdc643a6a4a1f2631b552884.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/e1377ee0-a8ba-4342-9744-b4b163ed6a5d.pdf,
missing_502958,missing,502958,Lakshmi Mills,511.56,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/fbf03291-a44e-4dde-807f-80a2af100836.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/788cd156-72a0-46fa-a974-790605967c87.pdf,,,,,,
SUTLEJTEX_532782,SUTLEJTEX,532782,Sutlej Textiles and Industries Limited,511.8,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/dcab799b-9e2a-432c-858e-033812625a14.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b70aac6b-3230-4f06-8ddc-f114a6533f1a.pdf,,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/e764dd64-909a-4ac8-bc6f-65c32e63ac99.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2a075baf-e6b8-4475-b955-a987bd62ce98.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/777f0f17-37f6-4689-8c47-bc067062af56.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/76ecbee0-e9f7-4bfd-a66f-8612960b27be.pdf
MOS_missing,MOS,missing,MOS Utility,512.3,,https://archives.nseindia.com/annual_reports/SME_AR_27900_MOS_2024_2025_A_4628243_29082025181602.pdf,https://archives.nseindia.com/annual_reports/SME_AR_25316_MOS_2023_2024_3008202412223.pdf,,,,,,
THEINVEST_530023,THEINVEST,530023,The Investment Trust Of India Limited,513.51,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5d740857-cfed-4afd-9fed-bb4ec1091a81.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/d04f18c4-82e6-4377-9dfb-e212f64ca584.pdf,,,,,,
EMAMIPAP_533208,EMAMIPAP,533208,Emami Paper Mills Limited,515.21,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/770a47ab-166a-48e9-8494-d0bfdde0b5b1.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/6f005b41-b684-45b8-8ad0-8cac64718ac7.pdf,,,,,,
INTLCONV_509709,INTLCONV,509709,International Conveyors Limited,515.57,,https://www.bseindia.com/xml-data/corpfiling/AttachHis/d097d81e-1f1e-49b1-8cf1-ffeb858e239f.pdf,https://www.bseindia.com/xml-data/corpfiling/AttachHis/0b361b92-a3ba-4de0-8637-2b794d5b38d0.pdf,,,,,,
